founding_year,Calculation1,amount_milestones_corrected,age_last_funding,age_first_funding,is_first_funding_the_biggest_funding,First_funding_amount,biggest_funding_amount_share_of_total_funding_%,biggest_funding_amount,Funding_rounds,days_from_first_to_last_milestone,average_days_per_milestone,Funding_total,funding_duration_days,days_per_funding,average_funding_size,Is_Successful,state,FoundingDate,BusinessField,NumContributors,NumPartners
2000,0,1,3749,2494,1,5902003,65,5902003,2,0,0,9000000,1255,627,4500000,1,CA,01.01.2000,network_hosting,4,22
2003,0,1,2870,2105,1,28812306,80,28812306,2,0,0,36000000,765,382,18000000,1,NY,01.01.2003,games_video,1,16
2004,0,1,3417,1546,1,32705900,64,32705900,2,0,0,51000000,1871,935,25500000,1,CA,01.01.2004,biotech,3,16
2007,1,2,493,425,1,4655659,84,4655659,2,723,361,5500000,68,34,2750000,1,NY,01.01.2007,web,2,13
2000,0,5,2769,305,0,13202578,51,17013191,4,729,145,33000000,2464,616,8250000,1,MA,01.01.2000,consulting,2,35
2009,1,1,1784,1784,1,10571182,100,10571182,1,0,0,10571182,0,0,10571182,1,CA,01.01.2009,cleantech,1,8
2005,0,3,1035,0,1,42195302,96,42195302,5,507,169,43600000,1035,207,8720000,0,CA,01.07.2005,search,3,7
2007,1,3,765,765,1,4100000,100,4100000,1,324,108,4100000,0,0,4100000,1,CA,01.01.2007,advertising,2,6
2007,1,2,275,275,1,1000000,100,1000000,1,531,265,1000000,0,0,1000000,1,AZ,01.04.2007,advertising,3,13
2004,0,1,2967,1698,0,885412,42,3085518,4,0,0,7210210,1269,317,1802552,1,CA,01.01.2004,enterprise,1,4
2009,1,1,1,1,1,20000,100,20000,1,0,0,20000,0,0,20000,0,VA,17.04.2009,web,1,3
2008,1,3,1649,564,1,30944374,43,30944374,4,1188,396,71400000,1085,271,17850000,1,CA,02.08.2008,cleantech,2,6
2009,1,2,261,261,1,500000,100,500000,1,461,230,500000,0,0,500000,0,NY,01.08.2009,ecommerce,1,2
2006,0,6,805,12,0,1556130,50,3602001,3,875,145,7175000,793,264,2391666,1,CA,20.01.2006,web,2,12
2011,0,3,207,207,1,425000,100,425000,1,652,217,425000,0,0,425000,1,CA,01.01.2011,web,2,5
2005,0,4,1128,883,0,366113,72,943887,2,1508,377,1310000,245,122,655000,0,WA,01.03.2005,web,1,3
